,brand,subjectivity,polarity,nb_words,text_len,negative,neutral,positive,compound,Partition,Centrality
0,BALENCIAGA,0.0,0.0,8.785714285714286,68.07142857142857,0.0,1.0,0.0,0.0,0,0.05128205128205128
1,BenefitBeauty,0.4103261988077637,0.2326975220461031,8.416538105522987,48.19068188830608,0.026860536871335973,0.6169654427645802,0.2586781857451408,0.31047741437827736,3,0.07692307692307693
2,Boucheron,0.365158959221436,0.17937204734650783,13.162428645563052,83.83809029579658,0.013025428126621703,0.8262641411520519,0.1581172807472756,0.2813320186818888,2,0.6923076923076923
3,Bulgariofficial,0.37388987022188075,0.20334703280809455,13.314197530864197,85.19413580246913,0.00907962962962963,0.7889256172839482,0.20168796296296304,0.3713784876543216,3,0.6153846153846154
4,Burberry,0.2765456362965646,0.10713321713727075,13.772937905468027,89.38924930491196,0.0065023169601482874,0.912382761816497,0.08111584800741418,0.15811529193697946,4,0.28205128205128205
5,Cartier,0.4013364371399717,0.2127307093469581,14.520247083047357,87.8009608785175,0.024072065888812662,0.7807460535346595,0.19518462594371974,0.3647454358270436,3,0.6153846153846154
6,Chaumet,0.4016523571329417,0.21137526822809624,15.055608820709493,94.91754554170662,0.005395014381591562,0.8301025886864821,0.16354266538830278,0.3506873441994247,2,0.5897435897435898
7,Dior,0.3861525242649109,0.1659199454904071,16.273230769230768,100.40092307692308,0.007810769230769232,0.8788618461538489,0.11332707692307672,0.25504710769230793,4,0.4358974358974359
8,EmilioPucci,0.27101808387853155,0.14832752305737362,11.801194029850747,73.2602985074627,0.00913134328358209,0.8678525373134335,0.12242567164179104,0.21721152238805985,2,0.5384615384615384
9,Fendi,0.4482690527990547,0.20065039845482152,14.635076923076923,94.53446153846154,0.009254153846153844,0.8432270769230767,0.1475209230769233,0.3004248615384628,2,0.6153846153846154
10,GirardPerregaux,0.3602231859797344,0.1706951446343794,12.07920174618023,81.54318677892111,0.008919550982226382,0.8487917056439055,0.14228656064858125,0.25338709073901083,2,0.5897435897435898
11,Gucci,0.29939981117173586,0.11826581664062308,15.68,99.94584615384615,0.011700615384615386,0.8951763076923095,0.09312184615384615,0.1854747692307697,4,0.28205128205128205
12,Guerlain,0.29802419126841423,0.14252826523473666,14.602773497688752,91.7426810477658,0.008252080123266562,0.8307993836671962,0.1603346687211134,0.3211817873651697,2,0.6153846153846154
13,Hublot,0.3890018241450987,0.21050988092166167,13.124653739612189,87.21298861188058,0.009816558941212684,0.8276358879655269,0.1619322868574943,0.2905525700215457,2,0.6666666666666666
14,IWC,0.3566021295371296,0.21617084054834024,14.195692307692308,90.34,0.011280307692307692,0.8351858461538471,0.1439944615384612,0.27731655384615417,2,0.641025641025641
15,LoeweOfficial,0.275930014535515,0.14326726946216628,13.342786683107274,84.653205918619,0.006486744759556101,0.9269731812577088,0.0634580764488286,0.12761602959309526,4,0.3076923076923077
16,LouisVuitton,0.40302318251549313,0.1891626455483865,15.308,98.55107692307692,0.006527692307692311,0.8856692307692303,0.10780030769230753,0.22667596923077038,4,0.5384615384615384
17,Makeupforever,0.4374213079843614,0.23470140208066348,11.875315656565656,70.99621212121212,0.016477588383838393,0.7513800505050504,0.21793402777777776,0.34398248106060664,3,0.41025641025641024
18,McQueen,0.22063526403388956,0.03346258058791018,15.78,102.54215384615385,0.029714153846153748,0.9220606153846179,0.04760646153846155,0.0419015076923072,1,0.05128205128205128
19,NKirkwoodLondon,0.2662371441632205,0.10985219040267673,11.847689075630251,78.10556722689076,0.016644957983193293,0.9102221638655474,0.0720808823529412,0.10346580882352927,4,0.1282051282051282
20,Piaget,0.43639919041458486,0.22472991822991858,14.136699507389162,90.00646551724138,0.00691902709359606,0.8022386083743843,0.18868503694581282,0.36591871921182334,3,0.641025641025641
21,RalphLauren,0.31526235381041673,0.16257246133137537,14.644651162790698,91.14976744186046,0.011777674418604653,0.8552468217054268,0.13266759689922464,0.25612809302325656,4,0.717948717948718
22,Roger_Dubuis,0.3956784652721355,0.21402760787763306,13.289273004575495,83.9023894255211,0.01676664972038637,0.8245678698525674,0.15714234875444827,0.27300086426029446,2,0.641025641025641
23,TAGHeuer,0.46122726031802874,0.2102552336552335,15.181230769230769,87.27446153846154,0.0357535384615385,0.7105800000000012,0.2521378461538465,0.38456993846153886,3,0.1282051282051282
24,Vacheron1755,0.3839771460363093,0.18894841677616664,12.349349039057657,80.28053316800992,0.007882517048977062,0.834379727216369,0.15680843149411045,0.2757263794172368,2,0.6153846153846154
25,YSL,0.15634152538309892,0.10620365203373014,11.801339285714286,81.47600446428571,0.006337611607142858,0.963572544642857,0.03008816964285717,0.05225814732142841,4,0.10256410256410256
26,ZenithWatches,0.3862913981456738,0.20751614129799134,14.952307692307693,90.91076923076923,0.012080512820512826,0.8162353846153841,0.1696343589743589,0.2951750256410256,2,0.641025641025641
27,alfreddunhill,0.3558825529265265,0.18580680793584886,12.815890410958904,77.62356164383561,0.014635068493150688,0.8461490410958916,0.13866739726027394,0.2394347397260279,2,0.6666666666666666
28,baumeetmercier,0.4308466982805611,0.24302652574330258,14.580535879273175,91.48044348629504,0.00789005235602094,0.7810394210040023,0.21107114259316315,0.4217285494302418,3,0.5641025641025641
29,chloefashion,0.2248718529710265,0.0678356002736168,15.520661157024794,98.13223140495867,0.011165289256198349,0.940289256198347,0.04855371900826446,0.07589338842975206,4,0.1282051282051282
30,givenchy,0.21560659476667332,0.10788771244675383,12.80171277997365,82.35111989459816,0.006865612648221342,0.9294841897233203,0.06167457180500671,0.1140588274044793,4,0.23076923076923075
31,jaegerlecoultre,0.3598927586215604,0.18311059492180357,11.96145544249152,78.91643539932161,0.00814122725871107,0.8416392229417192,0.14960345359235272,0.2629342584027141,2,0.5897435897435898
32,jrwatches,0.2870024420834793,0.16227018161213005,10.930551130933418,68.57820962089838,0.010948709780184775,0.8318601465434848,0.15623542529467974,0.24540618031220154,2,0.41025641025641024
33,kenzo,0.3481260946576418,0.1611143916952941,15.609226594301221,94.05834464043419,0.014348710990502039,0.8744179104477617,0.10580597014925378,0.2152700135685209,4,0.4615384615384615
34,marcjacobs,0.2490151658755849,0.10079094570261049,13.400123114804556,82.30871037242228,0.01164696829793783,0.8817220683287161,0.09216435826408112,0.16628827331486662,4,0.3333333333333333
35,montblanc_world,0.45073272222222377,0.18019222174122237,14.572923076923077,82.17938461538462,0.023418769230769198,0.7462836923076914,0.2284489230769226,0.369974615384617,3,0.3846153846153846
36,petermillar,0.4011614015882222,0.23695054130472068,12.291178285009254,70.76681061073411,0.015944787168414565,0.7311199876619368,0.23812954966070385,0.3828982418260333,3,0.2564102564102564
37,sergiorossi,0.328670744495222,0.17704301317481227,9.130665833072836,56.66051891216005,0.015518912160050021,0.7407020944044995,0.2228333854329477,0.28036489527977415,3,0.1282051282051282
38,ulysse_nardin,0.3482625609481098,0.18115348557947952,12.739115529653754,81.79533767569421,0.0224614329790881,0.8244062392869367,0.1527915666780936,0.23210401097017494,2,0.4615384615384615
39,vancleefarpels,0.3627697653922071,0.16317192492370935,13.662321539416512,88.89230291744258,0.005792675356921165,0.8342883302296717,0.15929795158286772,0.3153249534450656,2,0.5897435897435898
